,Label,Similar,composition,space_group_symmetry
5190,4329108.csv,,['Ag2 S'],['P 21 21 21']
5191,9009891.csv,,['S8'],['P 1 21/c 1']
5192,1530915.csv,,['Li0.33 Mo O3'],['P -1']
5193,2104387.csv,,['K0.05 Na0.95 Nb O3'],['R 3 c :H']
5194,9010667.csv,,['Ag0.68 Bi5.6 Cu1.062 S9'],['C 1 2/m 1']
5195,1544495.csv,,['Ca0.47 Co O2'],['P 1']
5196,1525867.csv,['4124113.csv'],"['Cu Nd0.17 O2 Sr0.83', 'Ca0.4 Fe O2 Sr0.6']","['P 4/m m m', 'P 4/m m m']"
5197,1533241.csv,['9006151.csv'],"['Fe0.57 H2.14 Mg2.01 O6 Si1.03', 'H0.603 Mg0.361 O Si0.169']","['R -3 m :H', 'R -3 m :H']"
5198,9009753.csv,,['Nd O4 Ta'],['I 1 2/a 1']
5199,1540208.csv,,['Ca2.5 Fe15.5 O25'],['R 3 2 :H']
5200,2106538.csv,,['Bi2 O6 U'],['P -3']
5201,1509693.csv,,['Ag2 O3 S'],['P 1 21/c 1']
5202,2107379.csv,,['S2 Zr9'],['I 41/a m d :2']
5203,1010338.csv,,['Gd2 O3'],['I 21 3']
5204,2310405.csv,,['In6 S7'],['P 1 21/m 1']
5205,2002124.csv,,['Mn0.333 O6 Ta2 Zn0.667'],['P b c n']
5206,1520200.csv,['9013909.csv'],"['Mn O4 W', 'Mn O4 W']","['P 1 2/c 1', 'P 1 2/c 1']"
5207,1536749.csv,,['Mo2 Na1.9 Ni1.05 O8'],[nan]
5208,2002680.csv,,['Cu K0.4 Mo3 O10 Rb0.6'],['P n m a']
5209,1542111.csv,,['K0.7 S8 V5'],['C 1 2/m 1']
5210,1509955.csv,,['Ag63.7 Al63.7 O384 Si128.3'],['F d -3 m :2']
5211,2002414.csv,,['Cr O5 Ti2'],['C 1 2/c 1']
5212,2106245.csv,,['O8 S2 Zr'],['P n m a']
5213,7228257.csv,,['Cu2.667 Li2.667 Nb8 O24'],['I 2 3']
5214,9015326.csv,,['Al7 Ca6.66 Cl1.11 O16'],['I -4 3 d']
5215,1527611.csv,,['Nb0.92 S'],['P 63 m c']
5216,7013660.csv,,['C28.5 H30.5 Mo2 N4.5 O10'],['P -1']
5217,4103388.csv,,['C16.09 Al O5'],['I m m a']
5218,1526613.csv,,['La7 O18 Ru3'],['R -3 c :H']
5219,9014243.csv,,['Fe4 O5'],['C m c m']
5220,1509337.csv,,['Ag Fe S2'],['I -4 2 d']
5221,4022781.csv,,['C22 H32 N2 O4 S3'],['C 1 2/c 1']
5222,1006086.csv,,['Cu2 O5 Tm2'],['P n a 21']
5223,7227773.csv,,['La2 O10 S'],['C 1 2/m 1']
5224,2016362.csv,,['Nb0.61 O3 Pb Ti0.08 Zn0.31'],['C 1 m 1']
5225,1526308.csv,,['Cd0.5 Ce0.6 Cu2 Ho1.6 O9 Pb0.5 Sr1.8'],['I 4/m m m']
5226,7221489.csv,,['Ba0.2 Co O3 Sr0.8'],['P 63/m m c']
5227,1101198.csv,['1101176.csv'],"['C0.75 H3 O2.75 P0.5 V0.5', 'C0.75 H3 O2.75 P0.5 V0.5']","['I m m m', 'I m m m']"
5228,8104062.csv,,['In5 S7 Tl'],['P 1 21/m 1']
5229,7222901.csv,,['In S2 Tl'],['P 63/m m c']
5230,2014104.csv,,['Ce2 Cr4 H4 O18'],['P b c a']
5231,1532741.csv,,['La6 Mo8 O33'],['P 1 21 1']
5232,1525688.csv,,['Mn O3 Tb'],['P b n m']
5233,1539965.csv,,['As3.5 Pb6.5 S10'],['P 1 21/m 1']
5234,4122688.csv,,['C77.5 H62.5 Er La N10.5 O19'],['P 1 21/c 1']
5235,1509094.csv,['9001090.csv'],"[nan, 'Bi11.536 Cu1.3 Fe0.7 Pb27.684 S57 Sb6.78']","['P n n m', 'P n n m']"
5236,1524959.csv,,['Al15.2 Na15.56 O96 Si32.8'],['C 1 2/m 1']
5237,1538549.csv,,['H2 S'],['P 42/m n m']
5238,1543554.csv,,['C26.5 H36 O7.5'],['P 21 21 2']
5239,1544846.csv,,['Ca1.53 Fe0.49 Mg0.52 Na0.47 O7 Si1.99'],['P -4 21 m']
5240,1538312.csv,,['Cr5 H10 O28 Zr4'],['P n n m']
5241,2002344.csv,,['O9 Ta2 Zn4'],['C 1 2/c 1']
5242,4337715.csv,,['Mo6 O26 Pu3'],['C 1 2/c 1']
5243,4105549.csv,,['C34.5 H15 Co3 N3.75 O25.07'],['F m -3']
5244,9001882.csv,,['Al1.12 Fe0.12 H4 Mg2.34 O9 Si1.42'],['P 63']
5245,7211171.csv,,['C25.5 H22 Co2 Cu O9.5'],['P 41']
5246,4507439.csv,,['Cu2 Nb8 O21'],['C 1 2/m 1']
5247,7023025.csv,,['C26.5 H16.75 N3.25 O4 Zn'],['P 1 21/c 1']
5248,9013089.csv,,['H2'],['P 63/m m c']
5249,1522141.csv,,['Cu H3 O7 S Y'],['P n m a']
5250,7221650.csv,,['Ag2 S'],['I m -3 m']
5251,4504580.csv,,['Ag3 Cr H20 Mo6 O31'],['P -1']
5252,9009751.csv,,['Ce Nb O4'],['I 1 2/a 1']
5253,1545653.csv,,['Al15 La3 O37 Ti5'],['C 1 c 1']
5254,1526830.csv,,['Cu S2 Y'],['P n m a']
5255,4331615.csv,,['C43.5 H39.5 Cu2 N5.5 O8 Th'],['P 1 21/c 1']
5256,4109787.csv,,['H26 Mn Mo9 O45 Zn3'],['R 3 2 :H']
5257,1526821.csv,,['Ga La4 Nb O14 Ti2'],['P n a 21']
5258,4344321.csv,,['Ho2.667 S4'],['I -4 3 d']
5259,9008248.csv,,['Bi4 Cu4 S9'],['P b n m']
5260,7221270.csv,,['Co3 In2 S2'],['R -3 m :R']
5261,1526823.csv,,['La4 Nb0.5 O14 Sc0.5 Ti3'],['P n a 21']
5262,1532120.csv,,['Fe2 O3'],['R -3 c :H']
5263,4031908.csv,,['C17 H16 Br N O5 S'],['P -1']
5264,1514151.csv,,['C34.5 H36 Cu3 O22.5'],['P -3 m 1']
5265,4339986.csv,,['Bi6 Co O16 S2'],['C 1 2 1']
5266,1524789.csv,,['Cs0.137778 O4 W1.11111'],['P 2 2 21']
5267,2310993.csv,,['S3 U2'],['P n m a']
5268,1530740.csv,,['H6 Mo2 O12 U'],['P c a 21']
5269,7154783.csv,,['C100.5 H92.25 N6.75 O3'],['P 21 21 21']
5270,9001742.csv,,[nan],['P 1 21/m 1']
5271,2019605.csv,,['H16 O16 S2 U'],['P 1 21/n 1']
5272,1000035.csv,,['Al0.34 Ca0.6 Fe0.2 Mg0.9 Na0.1 O6 Si1.82'],['C 1 2/c 1']
5273,2209680.csv,,['Mn1.44 Mo8 O11'],['P 1 21/n 1']
5274,1535956.csv,,['Na3.75 O12 Sc0.75 W3'],['C 1 2/c 1']
5275,1532612.csv,,['Fe La0.9 O4 Sr1.1'],['I 4/m m m']
5276,9007794.csv,,['Lu O4 S5 U4'],['I 4/m m m']
5277,4514400.csv,,['C27 H18 O2'],['P 1 21/c 1']
5278,4506878.csv,,['C21.5 H17.75 Cl1.5 O'],['P 1 21/c 1']
5279,1532782.csv,,['La2 Mn Ni O6'],['P 1 21/n 1']
5280,1521454.csv,,['Nb6.7 O47 W10.3'],['P 21 21 2']
5281,8103710.csv,,['In2 S4 Zn'],['R 3 m :H']
5282,4511926.csv,,['C143.2 H142.8 N15.6 O16'],['P -1']
5283,9009515.csv,,['Cr O4 Pb'],['P n m a']
5284,4343510.csv,,['O7 Ta2 Ti'],['I 1 2/m 1']
5285,9013798.csv,,['Br0.24 Cl4.86 H12 N2.9 Pb1.09'],['P n m a']
5286,2008824.csv,,['Ag O4 Re'],['I 41/a :2']
5287,9009089.csv,,['O2 V'],['P 1 21/c 1']
5288,1538595.csv,,['Ir S2'],['P n m a']
5289,9013081.csv,,['H2'],['P 63/m m c']
5290,1531456.csv,,['Cu Lu2 O6 Ti'],['P 63 c m']
5291,4318934.csv,,['Gd6 Mo12 O45'],['P -1']
5292,9012832.csv,,['Fe O6 Sn'],['P n -3 :2']
5293,1550342.csv,,['C15.5 H17 Cu N3.5 O5.75'],['P 1 21/c 1']
5294,4124853.csv,,['Co O3 Pr'],['P m -3 m']
5295,1522142.csv,,['H3 Ni O7 S Y'],['P 21 21 21']
5296,1001185.csv,['1001184.csv'],"['O3 Sn0.25 Ta', 'Ca0.5 O3 Ta']","['P m -3 m', 'P m -3 m']"
5297,1527295.csv,,['Cu S2 Sc'],['P 3 m 1']
5298,2103637.csv,,['Na0.282 O5 V2'],['C 1 2/m 1']
5299,7106820.csv,,['C27.18 H29.54 Br0.82 O2 S2'],['P b c a']
5300,2218528.csv,,['Nd2 O9 W2'],['P 1 21/c 1']
5301,1010912.csv,,['O2 Zr'],['P 1 21/c 1']
5302,9011568.csv,,['H'],['P 63/m m c']
5303,7109957.csv,,['C71.5 H8 S5'],['P -1']
5304,9016516.csv,,['Er Fe2 H3'],['R -3 m :R']
5305,1011170.csv,,['Mo O4 Pb'],['I 41/a :1']
5306,1521924.csv,,['Cu In O2'],['R -3 m :H']
5307,2002236.csv,,['Fe Nb O4'],['C 1 2/m 1']
5308,4109786.csv,,['H26 Mn Mo9 O45 Zn3'],['R 3 2 :H']
5309,9009378.csv,,['Fe3 H6 O14 Pb S2'],['R -3 m :H']
5310,2106835.csv,,['H28 O30 S4 Zr2'],['P -1']
5311,8102996.csv,,['H8 Ce O16 Re3'],['P 1 21/c 1']
5312,4511962.csv,,['C72.67 H40 In2 O21.83'],['R -3 :H']
5313,1509813.csv,,['Ag2 Hf S3'],['C m c a']
5314,5910320.csv,,['Ga2 Ni O4'],['F d -3 m :2']
5315,4000361.csv,,['H2 K0.5 O7.5 P1.5 V Zn0.5'],['P 1 21/m 1']
5316,1521259.csv,,['O3 Pb Ti0.7 Zr0.3'],['P 4 m m']
5317,1001099.csv,"['1001098.csv', '1001101.csv']","['Li1.2 O4 Ti1.8', 'Li1.333 O4 Ti1.667', 'Li1.1 O4 Ti1.9']","['F d -3 m :1', 'F d -3 m :1', 'F d -3 m :1']"
5318,1541983.csv,,['H2.548 K0.366 N1.637 O3'],['P n m a']
5319,1531378.csv,,['Ba0.75 Ca0.25 Nb2 O6'],['P 4 b m']
5320,1536478.csv,,['Fe S4 Yb2'],['F d -3 m :1']
5321,4124535.csv,,['Li1.96 O5 S2 Ti2 Y2'],['I 4/m m m']
5322,7050074.csv,,['C113.5 H134 Eu3.33 N11.5 O68.5 S8'],['P -1']
5323,1505270.csv,,['C48.5 H60 O10 S2'],['P 1 21/n 1']
5324,4074634.csv,,['C28.25 H20.5 Cl0.5 O4 Ru2'],['C 1 2/c 1']
5325,1540764.csv,,[nan],['C 1 2/m 1']
5326,9014872.csv,,['H K0.27 Mn2 O9.47 Si3.36'],['A 1 2/a 1']
5327,4507177.csv,,['C13.5 H5 Co0.25 N2.5 O5'],['P -4 21 c']
5328,9009863.csv,,['Ni3 S4'],['F d -3 m :1']
5329,7225037.csv,,['C79.6 H88.8 Cl0.5 Gd Mn3 N5.5 O22.7 S'],['P -1']
5330,7052445.csv,,['C64.5 H73 Br0.5 N0.5 O11'],['C 1 2/c 1']
5331,1530790.csv,,['Mo2.4 O16 V3.6'],['C 1 2 1']
5332,1537598.csv,,['H2 O16 S3 U3'],['I 4/m']
5333,1004021.csv,,['Mn O3 Sn'],['R -3 :R']
5334,2101621.csv,,['Mo O5 U'],[nan]
5335,1536398.csv,,['Al H3 O3'],['C 1 2/m 1']
5336,2206709.csv,,['C44.5 H28.5 N4.5 O5 Zn'],['P -1']
5337,4512997.csv,,['C153.5 H215.5 O33'],['P -1']
5338,7052277.csv,,['C13.5 H14 N0.25 O1.25 W0.25'],['P 4/n :2']
5339,9011238.csv,,['Bi2 H2 O7 S'],['P 1 21/c 1']
5340,4109634.csv,,['C98.67 H99.33 Cd8 S15'],['P 62 2 2']
5341,1532031.csv,,['Mn S4 Sc2'],['F d -3 m :2']
5342,9010605.csv,,['Br6.004 Cl1.996 Hg12 S8'],['P m -3 n']
5343,1528495.csv,,['Li0.8 O3 Ru'],['C 1 2/c 1']
5344,1521773.csv,,['Cr2.75 Ni0.25 S4'],['I 1 2/m 1']
5345,7229530.csv,,['C56.67 H63 N2.33 O8'],['P 3']
5346,1518162.csv,,['Cu Ni0.5 O2 Ti0.5'],['R -3 m :H']
5347,1530220.csv,,['Cu0.5 Li0.22 Mn O4 Ru'],['F d -3 m :2']
5348,7009768.csv,,['C15.5 H10 Fe O2.5 S W'],['C 1 2/c 1']
5349,4343793.csv,,['In2 O3'],['R -3 c :H']
5350,9003632.csv,,['Al2.315 Ca0.474 H0.204 Na1.462 O12 Si2.685'],['I -4 2 d']
5351,9004025.csv,,['Al0.19 Ca0.88 K0.12 Mg0.83 O6 Si1.98'],['C 1 2/c 1']
5352,2106774.csv,,['Ga5.5 La3 Nb0.5 O14'],['A 1 2 1']
5353,9014124.csv,,['Ag1.621 Bi9.379 Cu4 Pb2 S19'],['C 1 2/m 1']
5354,9004842.csv,,['Cu5 H4 O12 V2'],['P -1']
5355,7224856.csv,,['C13.5 H18 O6 W'],['P 1 21/n 1']
5356,1521521.csv,,['La3 Ni2 O7'],['A m a m']
5357,4504443.csv,,['C46.5 H49 N2.5 O26.25 S8'],['P -1']
5358,1537313.csv,['9007753.csv'],"['S3 Yb2', 'S3 Tm2']","['R -3 c :R', 'R -3 c :H']"
5359,2311040.csv,,['O Pb'],['P b c m']
5360,1008164.csv,,['O8 Pb3 V2'],['P 1 21/c 1']
5361,1544350.csv,['1544351.csv'],"['Li0.14 O2 Ti', 'Li0.16 O2 Ti']","['P b n m', 'P b n m']"
5362,1545921.csv,,['O7 Th V2'],['P n 21 a']
5363,9015442.csv,,['Cr2 O3'],[nan]
5364,4001926.csv,,['Ca1.9 O10 Sb3.02 Tb8.1'],['C 1 2/m 1']
5365,1527122.csv,,['La2 S3'],['P n m a']
5366,9006564.csv,,['Al0.536 Fe2 H2 Na0.5 O12 Si3.464'],['C 1 2/m 1']
5367,4336391.csv,,['O2 V'],['P 42/m n m']
5368,7114798.csv,,['C138.8 H142.5 O37.35 S8'],['P 1 n 1']
5369,2002671.csv,,['Cu2 Mo3 O12 Yb'],['P 1 21/m 1']
5370,1533096.csv,,['Al8.7 Cd5.33 O72 Si27.3'],['C 1 2/m 1']
5371,4108798.csv,,['Ge0.09 O2 Si0.91'],['C m c m']
5372,7211172.csv,,['C24.5 H18 Co2 Cu O8.5'],['P 41']
5373,9011795.csv,,['Fe2 H16 O17 S2'],['P -1']
5374,7033687.csv,,['C44.5 H42.5 Eu2 O30.75 S6'],['P 21 21 21']
5375,9007448.csv,,['O2 Zr'],['P 1 21/c 1']
5376,7038853.csv,,['Ca6.52 La3.48 O26 P4.52 Si1.48'],['P 63/m']
5377,1532584.csv,,['Al90.4 H2.08 K88.32 O384 Si101.6'],['F m -3 c']
5378,4126402.csv,,['C25.39 H32.07 N3.52 O6 Zn2'],['P 31 2 1']
5379,4342697.csv,,['H1.333 I4.333 La O13'],['R 3 c :H']
5380,7229828.csv,,['C56.25 H49.25 N6.75 O12.75 S Zn2'],['C 1 c 1']
5381,1540064.csv,,['Na1.1 O12 P2.89 Si0.11 Zr2'],['R -3 c :H']
5382,9014912.csv,['1008838.csv'],"['Fe2.31 Ga1.69 O6', 'Fe1.15 Ga0.85 O3']","['P c 21 n', 'P c 21 n']"
5383,1000270.csv,,['Mo10 O34 Tl8'],['P -1']
5384,1541063.csv,,['Cs0.33 Mo O3'],['C 1 2/m 1']
5385,4118508.csv,,['Ge0.1755 O2 Si0.8245'],['I m m m']
5386,2106725.csv,,['In2 O5 V'],['P n m a']
5387,4344153.csv,,['Fe H1.5 Mo Na0.5 O5'],['C 1 2/m 1']
5388,5910278.csv,,['Fe2 O4 Pb'],['F d -3 m :2']
5389,2101259.csv,,['Bi2 O11 Ti4'],['C 1 2/c 1']
5390,4124784.csv,,['Al O'],['F m -3 m']
5391,1536256.csv,,['Bi46 O89 V8'],['P 1 21/c 1']
5392,9016610.csv,,['O3 Sb0.5 Tl0.5 W0.5'],['F d -3 m :2']
5393,1529962.csv,,['Nb2 O17 Zr6'],['I m a 2']
5394,1524670.csv,,['Ba1.36 Bi3.02 O15 Ti4'],['A 21 a m']
5395,1534474.csv,,['Ga Gd O7 Ti2'],['P c n b']
5396,1509887.csv,,['Ag4 Mn3 O8'],['P 43 3 2']
5397,4079131.csv,,['C37.025 H28.855 Cl0.585 O3 Re'],['P -1']
5398,4124779.csv,,['Ca0.25 S Sr0.75'],['F m -3 m']
5399,1526931.csv,,['O2 Ti'],['I 41/a m d :2']
5400,2100725.csv,,['Mo8 O24 Pb3'],['P 4/m n c']
5401,4124669.csv,,['O Pt'],['P 42/m m c']
5402,5910347.csv,,['Mn O4 W'],['P 1 2/c 1']
5403,9014401.csv,,['S'],['P 32 2 1']
5404,1532334.csv,,['Cu La O S'],['P 4/n m m :2']
5405,2107133.csv,,['Hg2 O7 V2'],['P n m a']
5406,1509593.csv,,['Ag1.43 O10 V4'],['B 1 1 m']
5407,4001153.csv,,['Ce0.445 O3 Sr0.352 Ti'],['R -3 c :H']
5408,7221488.csv,,['Ba0.3 Co O3 Sr0.7'],['P 63/m m c']
5409,4313738.csv,,['C31 H24 F3 N5 O16 Re2 S'],['P 1 21/c 1']
5410,1509732.csv,,['Ag2.3 Bi6.8 Cu0.5 Pb0.4 S12'],['C 1 2/m 1']
5411,2300101.csv,,['Al2 Eu0.136 O4 Sr0.864'],['P 63 2 2']
5412,9000847.csv,,['Cu4 H14 Mn O18 S2'],['C 1 2 1']
5413,1001337.csv,,['Cs0.75 K0.25 Nb O11 Ti U2'],['A m a m']
5414,1006177.csv,,['Ca0.12 Cu La1.88 O4'],"['I 4/m m m (a+b,-a+b,c)']"
5415,2310928.csv,,['S V3'],['I -4 2 m']
5416,1521699.csv,,['Gd2 O2 S'],['P -3 m 1']
5417,4503072.csv,,['C21.33 H28 O2.67'],['P 1 21 1']
5418,1533242.csv,,['Fe0.63 H2.79 Mg2.2 O6 Si0.73'],['P 63/m m c']
5419,1526828.csv,,['Er2 S3'],['P 1 21/m 1']
5420,1533968.csv,,['Al5.55 H64 Na5.33 O128 Si42.45'],['C m c m']
5421,4000770.csv,,['Al2 Co S4'],['P -3 m 1']
5422,9013792.csv,,['Cu H2 O6 Pb S'],['P 1 21/m 1']
5423,1531059.csv,['1531058.csv'],"['Ce0.05 Cu2.13 Ho2.43 In0.87 O9 Sr1.52', 'Ce0.11 Cu2.02 Ho2.64 In0.98 O9 Sr1.25']","['I 4/m m m', 'I 4/m m m']"
5424,4508261.csv,,['Bi4 Fe S7'],['C 1 2/m 1']
5425,7011682.csv,,['C31.76 H27 Fe3 N4.29 O13'],['C 1 2/c 1']
5426,1521708.csv,,['Cr1.4 O3 V0.6'],['R -3 c :H']
5427,4311403.csv,,['C12.8 H8.8 Cl0.8 Mn0.4 O4.8 Rh0.4 S8'],['P -1']
5428,1004061.csv,,['La4 O19 Ru6'],['I 2 3']
5429,4505451.csv,,['H23 Mn Mo9 Ni3 O43.5'],['R 3 2 :H']
5430,7223713.csv,,['Al O2 Tl'],['R -3 m :H']
5431,1526154.csv,,['Bi4.86 La1.14 O9'],['P 1 2/c 1']
5432,7047364.csv,,['C86.8 H91.2 Cl0.5 N17.9 Ni6 O22 Y'],['P -1']
5433,1532610.csv,,['Fe La0.76 O4 Sr1.24'],['I 4/m m m']
5434,4002368.csv,,['Al0.5 O2 P0.5'],['P 2/m 1 1']
5435,9007584.csv,,['H12 O16 S2 V2'],['P 1 21/c 1']
5436,5910148.csv,,['Fe12 O19 Pb'],['P 63/m m c']
5437,7222900.csv,,['In S2 Tl'],['R -3 m :R']
5438,9000117.csv,,['Cu1.8 S'],['F m -3 m']
5439,9008425.csv,,['Cu0.85 Fe0.15 Mo1.16 Re2.84 S8'],['F -4 3 m']
5440,2007541.csv,,['Mo O8 Pb5'],['P 1 21/c 1']
5441,7112147.csv,,['C65.63 H63.13 Ag2 Cd3 N3.88 O1.88 S8'],['I 41/a :2']
5442,2000975.csv,,['Cu K0.95 O2 Sr0.05'],['C m c m']
5443,1539379.csv,['1545063.csv'],"['Ca0.86 Cu O2 Sr0.14', 'Ca0.91 Cu O2 Sr0.09']","['P 4/m m m', 'P 4/m m m']"
5444,8100493.csv,,['Ga0.7 Ge0.4 Mn6.3 O12 Si0.6'],['I 41/a c d :2']
5445,1540814.csv,,['Cd H8 O10 V2'],['C 1 c 1']
5446,1544327.csv,,['La1.33 Na1.33 O16 Sr1.33 W4'],['I 41/a :2']
5447,7013164.csv,,['C74.666 H98 Eu2 O17.333 S9.333'],['P 1 21/c 1']
5448,4123993.csv,,['Bi O3 Sc'],['C 1 2 1']
5449,1539044.csv,,['S22 U4 Yb11'],['C 1 2/m 1']
5450,7215911.csv,,['C22.5 H30.5 Ag2 Fe N8.5 O3'],['C 1 2/c 1']
5451,9005189.csv,,['Fe3 H6 K0.2 O14 S2 Tl0.8'],['R -3 m :H']
5452,7011826.csv,,['C1.5 H3.5 Cd0.25 Cl0.5 N0.5 O S0.25'],['C m c m']
5453,1532110.csv,,['Hf Nb O12 Sc5'],['R -3 :H']
5454,4000817.csv,,['Hg3 S4 Tl2'],['C 1 2/c 1']
5455,1010026.csv,['9008036.csv'],"['Ni O3 Ti', 'Ni O3 Ti']","['R -3 :R', 'R -3 :R']"
5456,1526409.csv,,['Ba0.2 Cu F0.38 Gd0.8 La O4'],['P 4/n m m :2']
5457,7204788.csv,,['Fe Ho2 Mo O7'],['R -3 :H']
5458,4105440.csv,,['C91.76 H60 Co12 N55.92 O57'],['F m -3']
5459,4503763.csv,,['Ag3 Ce4 H60 O108 W22'],['P -1']
5460,2013106.csv,,['La5 O17 Ti5'],['P 1 21/c 1']
5461,1521689.csv,,['Nd4 Ni3 O10'],['P 1 21/a 1']
5462,1528734.csv,,[nan],['P 6/m c c']
5463,4074721.csv,,['C43.5 H21 Al F15.5 Zr'],['C 1 2/c 1']
5464,1528060.csv,,['Mo O6 U'],['P 1 21/c 1']
5465,4344747.csv,,['C18.06 H8 Fe0.1 Ga1.9 O14.12'],['I 41 2 2']
5466,2106384.csv,,['Mn O3 S'],['R -3 :R']
5467,4500320.csv,,['C22.5 H22.5 Cl3.5 O2'],['C 1 2/c 1']
5468,2014944.csv,,['Cr Hg3 O8 Pb2'],['P 1 21/c 1']
5469,7220560.csv,,['Mo O5 Pb2'],['C 1 2/m 1']
5470,5910236.csv,,['Cd Ga2 O4'],['F d -3 m :2']
5471,9008171.csv,,['Cu Nd O2'],['R -3 m :H']
5472,4124088.csv,,['Ga8.2 H23 K8.16 O51.5 Si11.8'],['I 21 21 21']
5473,1538144.csv,,['O3 Sc2'],['I a -3']
5474,1529778.csv,,['Li0.98 Mo O2'],['P 1 21/c 1']
5475,1527236.csv,,['S4 Yb3'],['P n m a']
5476,1521766.csv,,['In1.6 O8 Y0.42 Zn4.98'],['R -3 m :H']
5477,1527144.csv,,['Fe2 La2 S5'],['C m c 21']
5478,1541155.csv,,['Mn0.94 O'],['F m -3 m']
5479,1528281.csv,,['Dy Mn2 O5'],['P b a m']
5480,4077444.csv,,['C56.5 H76 Sm2'],['P b c a']
5481,2242542.csv,,['Ge1.14 O4 Ti0.86'],['P 42/m n m']
5482,2300281.csv,,['Co0.23 Mn0.52 O'],['I 41/a m d :2']
5483,1537087.csv,,['S8'],['F d d d :2']
5484,1001145.csv,,['Cd1.333 O4 Sn1.333'],['F d -3 m :2']
5485,9008127.csv,,['As0.925 Cr Cu H O9 P0.075 Pb2'],['P 1 21/c 1']
5486,1539549.csv,,['Fe6 H12 O28 Pb S4'],['R -3 m :H']
5487,8102940.csv,,['Ag9 Al S6'],['F -4 3 m']
5488,1541750.csv,,[nan],['C 1 2/m 1']
5489,7213242.csv,,['C29.5 H24 O2.5'],['P -1']
5490,2002304.csv,,['Al6 O11 Pb0.67 Sr1.33'],['P n n m']
5491,4001209.csv,,['O12 Sc6 W'],['R -3 :R']
5492,4063636.csv,,['C23.75 H32 O U'],['P 1 21/n 1']
5493,1525556.csv,,['Al5.3 H8 O18 Si3.2'],['C 1 2 1']
5494,1009043.csv,,['Fe S'],['P -6 2 c']
5495,9000875.csv,,['Al4.67 Na2.984 O36 Si13.07'],['C 1 2/m 1']
5496,9009404.csv,,['Mo O4 Pb'],['I 41/a :2']
5497,1010004.csv,,['Bi2 O3'],['P 1 21/c 1']
5498,8103792.csv,,['O2 Re0.5 V0.5'],['P 42/m n m']
5499,1521700.csv,,['Bi2.1 O9 Sr0.85 Ta2'],['A 21 a m']
5500,7007842.csv,['7007843.csv'],"['C57.25 H85.17 B10.83 Cl0.17 O6', 'C57.25 H85.17 B10.83 Cl0.17 O6']","['P 6/m', 'P 6/m']"
5501,2009101.csv,,['Mo O4 Tl2'],['P -3 m 1']
5502,4332652.csv,,['H117 Ni2 O134 Pr6 V25'],['P -1']
5503,1516022.csv,,['C36.5 H68 O15.5'],['P 1']
5504,1535780.csv,,['Ca1.75 Cu0.75 O6 Pt Sr1.5'],['R -3 c :H']
5505,9013999.csv,,['As0.02 Cu0.94 H O5 P0.98 Zn1.06'],['P n n m']
5506,1530906.csv,,['Dy O4 Ta'],['P 1 2/a 1']
5507,1524179.csv,,['Ba3.685 Cr7.315 O44 Ru14.685'],['P 4']
5508,7040609.csv,,['C153.9 H271.8 Cr6 Dy14 N7.5 O147 S4.95'],['P 3 1 c']
5509,1510550.csv,,['Au5 Cs1.89 O2 Rb5.11'],['I m m m']
5510,1528282.csv,,['Mo O4 Zn'],['P -1']
5511,9002141.csv,,['Al0.04 Cs0.89 Fe3.92 O12 Si3.04'],['C 1 2/m 1']
5512,1540362.csv,,['Cr0.73 In1.27 Ni S4'],['F d -3 m :2']
5513,1509267.csv,,['Ag Cr S2'],['R 3 m :H']
5514,4505896.csv,,['C9.33 H17 Cl0.67 N2.33'],['R -3 :H']
5515,1533967.csv,,['Ba0.1 La0.9 Mg0.633 Nb0.367 O3'],['P 1 21/n 1']
5516,4031381.csv,,['H3 La O3'],['P 63/m']
5517,1533170.csv,,['Cs0.79 Li0.21 O8 Ru4'],['I 4/m']
5518,1531927.csv,,['La0.025 Mn O3 Sr0.975'],['P 63']
5519,9009405.csv,,['As1.8 Cu5 H4 O12 P0.2'],['P 1 21/c 1']
5520,2234341.csv,,['C11.12 H7.12 Cu N2.88 O4'],['P -1']
5521,8104320.csv,,['Fe6 H36.68 K3.86 Na5.3 O67.92 S12'],['P -3']
5522,4321177.csv,,['C240.5 H338 Eu18 O51'],['P -1']
5523,7051888.csv,,['C39.8 H35.6 O6.6 S6'],['P -1']
5524,1547039.csv,,['C51.5 H61 O11.5'],['C 1 2/c 1']
5525,7006509.csv,,['C47.5 H70.5 Er O6'],['P 61']
5526,1533713.csv,,['Bi0.693 Ca3.093 Mn3 O10'],['P b c a']
5527,1548809.csv,,['H2 Mn O2'],['P -3 m 1']
5528,1010486.csv,,['Ag2 O'],['P n -3 m :1']
5529,1521363.csv,,['Mn O6 Sm2 Ti'],['P 1 21/n 1']
5530,1527628.csv,,['Bi2.76 Nb17 O47'],['P b a 2']
5531,1537362.csv,,['Al Cu O2'],['R -3 m :R']
5532,2107378.csv,,['Mo8 O26 Tl4'],['P b c a']
5533,1532594.csv,,['Bi2 Cr O7 Ta'],['F d -3 m :2']
5534,7009995.csv,,['C65.75 H70.25 Cl8.75 Co7 N9.75 O20'],['P -1']
5535,7123214.csv,,['Bi16 Fe11.2 O48 Sc4.8'],['P n m a']
5536,2002720.csv,,['O7 Sm2 Ta0.66 Ti1.34'],['F d -3 m :2']
5537,1526958.csv,,['H6 O10 V3'],['P 4 b m']
